City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Fort Collins,Colorado,23.89855403,66,109.2,1750,Nah,8.5,1120.5,FALSE,40.5477,-105.0656
Glendale,California,186.4246549,67,92.2,3000,Nah,12,2525.4,FALSE,34.1819,-118.2468
St. Petersburg,Florida,38.05062459,68,90.2,1550,Nah,8.5,1647.5,FALSE,27.7931,-82.6652
Savannah,Georgia,69.29837199,69,97.3,1375,59,10.1,517.7,FALSE,32.0286,-81.1821
Houston,Texas,59.78000956,70,95.8,1500,55,11.4,1394.6,FALSE,29.786,-95.3885
Tacoma,Washington,60.65858678,71,104,1800,Nah,7.1,1675.7,FALSE,47.2431,-122.4531
Long Beach,California,29.20247706,72,97.7,2362.5,Nah,13.4,3517.9,FALSE,33.7977,-118.167
Virginia Beach,Virginia,18.90040487,73,99,1500,Nah,7.2,711.4,FALSE,36.7335,-76.0435
Norfolk,Virginia,40.07198956,74,103.3,1350,61,7.2,1770.5,FALSE,36.8945,-76.259
Fargo,North Dakota,35.723535,75,91.4,1350,56,11,949.4,FALSE,46.8651,-96.8292
Sacramento,California,38.09243989,76,120.3,1795,77,11.3,1971.3,FALSE,38.5677,-121.4685
Lexington,Kentucky,49.32071682,77,91.1,1295,Nah,9.6,438.6,FALSE,38.0423,-84.4587
Rochester,Minnesota,42.19294452,78,97.3,1300,Nah,6,813.7,FALSE,44.0154,-92.478
Baltimore,Maryland,61.69891785,79,107,1350,55,8.9,2872.8,FALSE,39.3051,-76.6144
Orange,California,26.81388013,80,164,2895,Nah,12,2095.7,FALSE,33.8038,-117.8218
Kansas City,Missouri,52.87278915,81,91.6,1045,62,11.2,602.6,FALSE,39.1238,-94.5541
Manchester,New Hampshire,45.00907441,82,109.6,1522.5,Nah,4.5,1312.6,FALSE,42.9848,-71.4447
Columbia,Missouri,60.27356305,83,91.9,1000,57,10.8,711.5,FALSE,38.9472,-92.3268
Worcester,Massachusetts,26.80256292,84,113.2,1600,Nah,9.1,1913.8,FALSE,42.2705,-71.8079
San Jose,California,28.57958785,85,173.5,3400,Nah,10.9,2229,FALSE,37.3012,-121.848
Syracuse,New York,39.26620705,86,95.1,1200,44,6.6,2196.4,FALSE,43.0407,-76.1437
Des Moines,Iowa,48.02549637,87,91.7,1025,58,8.3,943.2,FALSE,41.5725,-93.6105
Columbia,South Carolina,60.27356305,88,91.9,1150,64,9,377.3,FALSE,34.0378,-80.9036
Lincoln,Nebraska,31.33673161,89,94.7,1200,60,7.1,1131.9,FALSE,40.8099,-96.6784
College Station,Texas,19.4807373,90,92.3,1599.5,Nah,8,874,FALSE,30.5852,-96.2959
Wilmington,North Carolina,59.58314454,91,99,1395,62,4.8,917.6,FALSE,34.2099,-77.8866
West Palm Beach,Florida,45.12491356,92,94.9,1750,Nah,9.5,796.4,FALSE,26.7469,-80.132
Indianapolis,Indiana,42.52,93,90.2,1050,51,12.6,928.2,FALSE,39.7771,-86.1458
Sioux Falls,South Dakota,35.28562501,94,92.8,1100,56,9.1,879.9,FALSE,43.5396,-96.7311
Huntsville,Alabama,2.643754131,95,91.3,1095,Nah,7.5,351.8,FALSE,34.6981,-86.6412
Milwaukee,Wisconsin,38.87308499,96,93.8,1075,53,10.2,2379,FALSE,43.0642,-87.9675
Tallahassee,Florida,46.75455142,97,96.4,1195,Nah,7,743.64,FALSE,30.455,-84.253333
Roseville,California,61.14285714,98,97.3,2150,Nah,11.3,1216.3,FALSE,38.7703,-121.3196
Clearwater,Florida,27.91636159,99,92.9,1750,Nah,8.5,1713.6,FALSE,27.979,-82.7623
Cleveland,Ohio,64.34089812,100,90,895,47,12.6,1904,FALSE,41.4764,-81.6805
Little Rock,Arkansas,76.38797875,101,88,995,68,9.7,637,FALSE,34.7256,-92.3577
Lafayette,Louisiana,48.28957962,102,89.6,1150,Nah,7.6,874.7,FALSE,30.2082,-92.0325
Boise,Idaho,18.59809609,103,94.8,1475,63,9.2,1047.5,FALSE,43.6005,-116.2308
Oklahoma City,Oklahoma,48.13722659,104,87.3,1025,66,11.2,413.7,FALSE,35.4676,-97.5136
San Antonio,Texas,50.32690554,105,92.7,1300,57,8.9,1184.5,FALSE,29.4632,-98.5238
Fort Worth,Texas,31.32849743,106,101.7,1600,Nah,9.6,988.3,FALSE,32.7817,-97.3474
Tulsa,Oklahoma,62.98232512,107,86.7,950,59,10.1,785.8,FALSE,36.1283,-95.9042
Greensboro,North Carolina,45.07675531,108,91,1200,Nah,7.7,872.6,FALSE,36.0956,-79.8271
Fort Wayne,Indiana,31.22517318,109,86.8,775,60,9,935.5,FALSE,41.0888,-85.1436
Wichita,Kansas,64.62776866,110,86.8,847.5,64,11.3,930.9,FALSE,37.6895,-97.3443
Knoxville,Tennessee,50.17332217,111,91.6,1227.5,57,11.3,733.3,FALSE,35.9692,-83.9496
Lansing,Michigan,57.99782372,112,88.7,895,50,9.6,1158.9,FALSE,42.7142,-84.5601
